,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
214,203-300,Kobe University,10-13,,0.0,0.0,13.6,15.0,33.1,16.9,2005
215,203-300,Lancaster University,20-30,,0.0,0.0,17.6,10.2,28.4,14.8,2005
216,203-300,Laval University,9-17,,0.0,0.0,15.7,11.4,37.2,17.8,2005
217,203-300,London School of Economics and Political Science,20-30,,19.8,0.0,15.7,,26.1,16.2,2005
218,203-300,Louisiana State University - Baton Rouge,91-119,,0.0,0.0,13.6,11.8,39.0,15.6,2005
219,203-300,Macquarie University,7-9,,0.0,0.0,13.6,15.9,25.6,17.9,2005
220,203-300,Monash University,7-9,,0.0,0.0,7.9,15.4,44.6,14.7,2005
221,203-300,National and Kapodistrian University of Athens,1,,0.0,0.0,7.9,5.9,40.1,17.5,2005
222,203-300,Newcastle University,20-30,,0.0,0.0,11.1,20.1,37.8,18.8,2005
223,203-300,Norwegian University of Science and Technology,2,,18.8,0.0,0.0,15.7,30.5,15.6,2005
224,203-300,Okayama University,10-13,,0.0,0.0,7.9,10.4,36.0,18.3,2005
225,203-300,Paul Sabatier University (Toulouse 3),9-13,,0.0,6.4,7.9,16.9,33.8,16.6,2005
226,203-300,Peking University,2,,0.0,0.0,0.0,11.3,52.2,17.2,2005
227,203-300,"Queen Mary, U. of London",20-30,,24.3,0.0,15.7,7.4,30.2,16.5,2005
228,203-300,Queen's University Belfast,20-30,,23.5,0.0,0.0,10.8,33.5,16.5,2005
229,203-300,Radboud University Nijmegen,8-9,,0.0,0.0,7.9,18.8,40.1,19.9,2005
230,203-300,Royal Institute of Technology,6-9,,0.0,15.8,7.9,10.9,35.1,17.1,2005
231,203-300,RWTH Aachen University,17-23,,6.3,0.0,7.9,7.4,39.0,17.3,2005
232,203-300,State University of Campinas,2,,0.0,0.0,7.9,6.2,40.6,17.8,2005
233,203-300,State University of New York at Albany,91-119,,0.0,0.0,22.2,9.8,29.1,20.0,2005
234,203-300,State University of New York at Buffalo,91-119,,0.0,0.0,15.7,11.5,39.1,16.1,2005
235,203-300,Swedish University of Agricultural Sciences,6-9,,0.0,0.0,13.6,17.0,29.9,14.8,2005
236,203-300,Syracuse University,91-119,,0.0,0.0,15.7,14.1,26.8,15.2,2005
237,203-300,Technical University of Berlin,17-23,,23.5,0.0,11.1,8.9,29.7,15.7,2005
238,203-300,The Chinese University of Hong Kong,1-3,,0.0,0.0,13.6,5.1,43.3,21.6,2005
239,203-300,The George Washington University,91-119,,15.4,0.0,11.1,12.6,32.9,17.6,2005
240,203-300,The Hong Kong University of Science and Technology,1-3,,0.0,0.0,17.6,10.1,34.5,24.6,2005
241,203-300,The University of Adelaide,7-9,,10.9,0.0,11.1,12.0,35.2,19.0,2005
242,203-300,The University of Auckland,1,,17.7,0.0,11.1,16.3,33.9,17.5,2005
243,203-300,The University of Dundee,20-30,,0.0,0.0,13.6,15.1,28.0,14.7,2005
244,203-300,The University of Hong Kong,1-3,,0.0,0.0,7.9,10.9,46.3,21.3,2005
245,203-300,The University of New Mexico - Albuquerque,91-119,,0.0,0.0,11.1,19.6,36.3,18.9,2005
